Divipola,Nombre,Indicativo
50568,Puerto Gaitán,608
50573,Puerto López,608
50577,Puerto Lleras,608
50590,Puerto Rico,608
50606,Restrepo,608
50680,San Carlos de Guaroa,608
50683,San Juan de Arama,608
50686,San Juanito,608
50689,San Martín,608
50711,Vistahermosa,608
52001,Pasto,602
52019,Albán,602
52022,Aldana,602
52036,Ancuyá,602
52051,Arboleda,602
52079,Barbacoas,602
52083,Belén,602
52110,Buesaco,602
52203,Colón,602
52207,Consaca,602
52210,Contadero,602
52215,Córdoba,602
52224,Cuaspud,602
52227,Cumbal,602
52233,Cumbitara,602
52240,Chachagüí,602
52250,El Charco,602
52254,El Peñol,602
52256,El Rosario,602
52258,El Tablón de Gómez,602
52260,El Tambo,602
52287,Funes,602
52317,Guachucal,602
52320,Guaitarilla,602
52323,Gualmatán,602
52352,Iles,602
52354,Imués,602
52356,Ipiales,602
52378,La Cruz,602
52381,La Florida,602
52385,La Llanada,602
52390,La Tola,602
52399,La Unión,602
52405,Leiva,602
52411,Linares,602
52418,Los Andes,602
52427,Magüi,602
52435,Mallama,602
52473,Mosquera,602
52480,Nariño,602
52490,Olaya Herrera,602
52506,Ospina,602
52520,Francisco Pizarro,602
52540,Policarpa,602
52560,Potosí,602
52565,Providencia,602
52573,Puerres,602
52585,Pupiales,602
52612,Ricaurte,602
52621,Roberto Payán,602
52678,Samaniego,602
52683,Sandoná,602
52685,San Bernardo,602
52687,San Lorenzo,602
52693,San Pablo,602
52694,San Pedro de Cartago,602
52696,Santa Bárbara,602
52699,Santacruz,602
52720,Sapuyes,602
52786,Taminango,602
52788,Tangua,602
52835,San Andres de Tumaco,602
52838,Túquerres,602
52885,Yacuanquer,602
54001,Cúcuta,607
54003,Abrego,607
54051,Arboledas,607
54099,Bochalema,607
54109,Bucarasica,607
54125,Cácota,607
54128,Cachirá,607
54172,Chinácota,607
54174,Chitagá,607
54206,Convención,607
54223,Cucutilla,607
54239,Durania,607
54245,El Carmen,607
54250,El Tarra,607
54261,El Zulia,607
54313,Gramalote,607
54344,Hacarí,607
54347,Herrán,607
54377,Labateca,607
54385,La Esperanza,607
54398,La Playa,607
54405,Los Patios,607
54418,Lourdes,607
54480,Mutiscua,607
54498,Ocaña,607
54518,Pamplona,607
54520,Pamplonita,607
54553,Puerto Santander,607
54599,Ragonvalia,607
54660,Salazar,607
54670,San Calixto,607
54673,San Cayetano,607
54680,Santiago,607
54720,Sardinata,607
54743,Silos,607
54800,Teorama,607
54810,Tibú,607
54820,Toledo,607
54871,Villa Caro,607
54874,Villa del Rosario,607
63001,Armenia,606
63111,Buenavista,606
63130,Calarca,606
63190,Circasia,606
63212,Córdoba,606
63272,Filandia,606
63302,Génova,606
63401,La Tebaida,606
63470,Montenegro,606
63548,Pijao,606
63594,Quimbaya,606
63690,Salento,606
66001,Pereira,606
66045,Apía,606
66075,Balboa,606
66088,Belén de Umbría,606
66170,Dosquebradas,606
66318,Guática,606
66383,La Celia,606
66400,La Virginia,606
66440,Marsella,606
66456,Mistrató,606
66572,Pueblo Rico,606
66594,Quinchía,606
66682,Santa Rosa de Cabal,606
66687,Santuario,606
68001,Bucaramanga,607
68013,Aguada,607
68020,Albania,607
68051,Aratoca,607
68077,Barbosa,607
68079,Barichara,607
68081,Barrancabermeja,607
68092,Betulia,607
68101,Bolívar,607
68121,Cabrera,607
68132,California,607
68147,Capitanejo,607
68152,Carcasí,607
68160,Cepitá,607
68162,Cerrito,607
68167,Charalá,607
68169,Charta,607
68176,Chima,607
68179,Chipatá,607
68190,Cimitarra,607
68207,Concepción,607
68209,Confines,607
68211,Contratación,607
68217,Coromoro,607
68229,Curití,607
68235,El Carmen de Chucurí,607
68245,El Guacamayo,607
68250,El Peñón,607
68255,El Playón,607
68264,Encino,607
68266,Enciso,607
68271,Florián,607
68276,Floridablanca,607
68296,Galán,607
68298,Gambita,607
68307,Girón,607
68318,Guaca,607
68320,Guadalupe,607
68322,Guapotá,607
68324,Guavatá,607
68327,Güepsa,607
68344,Hato,607
68368,Jesús María,607
68370,Jordán,607
68377,La Belleza,607
68385,Landázuri,607
68397,La Paz,607
68406,Lebríja,607
68418,Los Santos,607
68425,Macaravita,607
68432,Málaga,607
68444,Matanza,607
68464,Mogotes,607
68468,Molagavita,607
68498,Ocamonte,607
68500,Oiba,607
68502,Onzaga,607
68522,Palmar,607
68524,Palmas del Socorro,607
68533,Páramo,607
68547,Piedecuesta,607
68549,Pinchote,607
68572,Puente Nacional,607
68573,Puerto Parra,607
68575,Puerto Wilches,607
68615,Rionegro,607
68655,Sabana de Torres,607
68669,San Andrés,607
68673,San Benito,607
68679,San Gil,607
68682,San Joaquín,607
68684,San José de Miranda,607
68686,San Miguel,607
68689,San Vicente de Chucurí,607
68705,Santa Bárbara,607
68720,Santa Helena del Opón,607
68745,Simacota,607
68755,Socorro,607
68770,Suaita,607
68773,Sucre,607
68780,Suratá,607
68820,Tona,607
68855,Valle de San José,607
68861,Vélez,607
68867,Vetas,607
68872,Villanueva,607
68895,Zapatoca,607
70001,Sincelejo,605
70110,Buenavista,605
70124,Caimito,605
70204,Coloso,605
70215,Corozal,605
70221,Coveñas,605
70230,Chalán,605
70233,El Roble,605
70235,Galeras,605
70265,Guaranda,605
70400,La Unión,605
70418,Los Palmitos,605
70429,Majagual,605
70473,Morroa,605
70508,Ovejas,605
70523,Palmito,605
70670,Sampués,605
70678,San Benito Abad,605
70702,San Juan de Betulia,605
70708,San Marcos,605
70713,San Onofre,605
70717,San Pedro,605
70742,San Luis de Sincé,605
70771,Sucre,605
70820,Santiago de Tolú,605
70823,Tolú Viejo,605
73001,Ibagué,608
73024,Alpujarra,608
73026,Alvarado,608
73030,Ambalema,608
73043,Anzoátegui,608
73055,Armero,608
73067,Ataco,608
73124,Cajamarca,608
73148,Carmen de Apicalá,608
73152,Casabianca,608
73168,Chaparral,608
73200,Coello,608
73217,Coyaima,608
73226,Cunday,608
73236,Dolores,608
73268,Espinal,608
73270,Falan,608
73275,Flandes,608
73283,Fresno,608
73319,Guamo,608
73347,Herveo,608
73349,Honda,608
73352,Icononzo,608
73408,Lérida,608
73411,Líbano,608
73443,Mariquita,608
73449,Melgar,608
73461,Murillo,608
73483,Natagaima,608
73504,Ortega,608
73520,Palocabildo,608
73547,Piedras,608
73555,Planadas,608
73563,Prado,608
73585,Purificación,608
73616,Rioblanco,608
73622,Roncesvalles,608
73624,Rovira,608
73671,Saldaña,608
73675,San Antonio,608
73678,San Luis,608
73686,Santa Isabel,608
73770,Suárez,608
73854,Valle de San Juan,608
73861,Venadillo,608
73870,Villahermosa,608
73873,Villarrica,608
76001,Cali,602
76020,Alcalá,602
76036,Andalucía,602
76041,Ansermanuevo,602
76054,Argelia,602
76100,Bolívar,602
76109,Buenaventura,602
76111,Guadalajara de Buga,602
76113,Bugalagrande,602
76122,Caicedonia,602
76126,Calima,602
76130,Candelaria,602
76147,Cartago,602
76233,Dagua,602
76243,El Águila,602
76246,El Cairo,602
76248,El Cerrito,602
76250,El Dovio,602
76275,Florida,602
76306,Ginebra,602
76318,Guacarí,602
76364,Jamundí,602
76377,La Cumbre,602
76400,La Unión,602
76403,La Victoria,602
76497,Obando,602
76520,Palmira,602
76563,Pradera,602
76606,Restrepo,602
76616,Riofrío,602
76622,Roldanillo,602
76670,San Pedro,602
76736,Sevilla,602
76823,Toro,602
76828,Trujillo,602
76834,Tuluá,602
76845,Ulloa,602
76863,Versalles,602
76869,Vijes,602
76890,Yotoco,602
76892,Yumbo,602
76895,Zarzal,602
81001,Arauca,607
81065,Arauquita,607
81220,Cravo Norte,607
81300,Fortul,607
81591,Puerto Rondón,607
81736,Saravena,607
81794,Tame,607
85001,Yopal,608
85010,Aguazul,608
85015,Chameza,608
85125,Hato Corozal,608
85136,La Salina,608
85139,Maní,608
85162,Monterrey,608
85225,Nunchía,608
85230,Orocué,608
85250,Paz de Ariporo,608
85263,Pore,608
85279,Recetor,608
85300,Sabanalarga,608
85315,Sácama,608
85325,San Luis de Palenque,608
85400,Támara,608
85410,Tauramena,608
85430,Trinidad,608
85440,Villanueva,608
86001,Mocoa,608
86219,Colón,608
86320,Orito,608
86568,Puerto Asís,608
86569,Puerto Caicedo,608
86571,Puerto Guzmán,608
86573,Leguízamo,608
86749,Sibundoy,608
86755,San Francisco,608
86757,San Miguel,608
86760,Santiago,608
86865,Valle del Guamuez,608
86885,Villagarzón,608
88001,San Andrés,608
88564,Providencia,608
91001,Leticia,608
91263,El Encanto (ANM),608
91405,La Chorrera (ANM),608
91407,La Pedrera (ANM),608
91430,La Victoria (ANM),608
91460,Miriti - Paraná (ANM),608
91530,Puerto Alegría (ANM),608
91536,Puerto Arica (ANM),608
91540,Puerto Nariño,608
91669,Puerto Santander (ANM),608
91798,Tarapacá (ANM),608
94001,Inírida,608
94343,Barranco Minas (ANM),608
94663,Mapiripana (ANM),608
94883,San Felipe (ANM),608
94884,Puerto Colombia (ANM),608
94885,La Guadalupe (ANM),608
94886,Cacahual (ANM),608
94887,Pana Pana (ANM),608
94888,Morichal (ANM),608
95001,San José del Guaviare,608
95015,Calamar,608
95025,El Retorno,608
95200,Miraflores,608
97001,Mitú,608
97161,Caruru,608
97511,Pacoa (ANM),608
97666,Taraira,608
97777,Papunaua (ANM),608
97889,Yavaraté (ANM),608
99001,Puerto Carreño,608
99524,La Primavera,608
99624,Santa Rosalía,608
99773,Cumaribo,608
